Datetime,Water Level (m)
2023-10-14 12:00:00,0.9833482
2023-10-14 13:00:00,1.0307386
2023-10-14 14:00:00,0.96583605
2023-10-14 15:00:00,0.863416
2023-10-14 16:00:00,0.79346097
2023-10-14 17:00:00,0.745354
2023-10-14 18:00:00,0.7083129
2023-10-14 19:00:00,0.68006265
2023-10-14 20:00:00,0.66565067
2023-10-14 21:00:00,0.74044794
2023-10-14 22:00:00,0.96445644
2023-10-14 23:00:00,1.2402334
2023-10-15 00:00:00,1.424159
2023-10-15 01:00:00,1.5040792
2023-10-15 02:00:00,1.458291
2023-10-15 03:00:00,1.3396709
2023-10-15 04:00:00,1.2474209
2023-10-15 05:00:00,1.1796232
2023-10-15 06:00:00,1.1248245
2023-10-15 07:00:00,1.0791334
2023-10-15 08:00:00,1.0407869
2023-10-15 09:00:00,1.0389276
2023-10-15 10:00:00,1.1654898
2023-10-15 11:00:00,1.3987464
2023-10-15 12:00:00,1.600438
2023-10-15 13:00:00,1.685067
2023-10-15 14:00:00,1.6306598
2023-10-15 15:00:00,1.5265055
2023-10-15 16:00:00,1.44027
2023-10-15 17:00:00,1.3698404
2023-10-15 18:00:00,1.3111106
2023-10-15 19:00:00,1.2608616
2023-10-15 20:00:00,1.216858
2023-10-15 21:00:00,1.1948465
2023-10-15 22:00:00,1.2856073
2023-10-15 23:00:00,1.5059409
2023-10-16 00:00:00,1.7481369
2023-10-16 01:00:00,1.875854
2023-10-16 02:00:00,1.8547556
2023-10-16 03:00:00,1.740576
2023-10-16 04:00:00,1.6365815
2023-10-16 05:00:00,1.5542152
2023-10-16 06:00:00,1.4859447
2023-10-16 07:00:00,1.4274412
2023-10-16 08:00:00,1.3750126
2023-10-16 09:00:00,1.331613
2023-10-16 10:00:00,1.3412933
2023-10-16 11:00:00,1.4665185
2023-10-16 12:00:00,1.6683015
2023-10-16 13:00:00,1.8140441
2023-10-16 14:00:00,1.8122505
2023-10-16 15:00:00,1.7240268
2023-10-16 16:00:00,1.634948
2023-10-16 17:00:00,1.5575824
2023-10-16 18:00:00,1.4905369
2023-10-16 19:00:00,1.4321933
2023-10-16 20:00:00,1.3798716
2023-10-16 21:00:00,1.335553
2023-10-16 22:00:00,1.3433038
2023-10-16 23:00:00,1.4757544
2023-10-17 00:00:00,1.7114588
2023-10-17 01:00:00,1.9078337
2023-10-17 02:00:00,1.9627783
2023-10-17 03:00:00,1.8751612
2023-10-17 04:00:00,1.7622057
2023-10-17 05:00:00,1.668952
2023-10-17 06:00:00,1.5922362
2023-10-17 07:00:00,1.5267749
2023-10-17 08:00:00,1.4686784
2023-10-17 09:00:00,1.4160203
2023-10-17 10:00:00,1.3815331
2023-10-17 11:00:00,1.4280394
2023-10-17 12:00:00,1.5728747
2023-10-17 13:00:00,1.7471462
2023-10-17 14:00:00,1.8182338
2023-10-17 15:00:00,1.7656944
2023-10-17 16:00:00,1.6796162
2023-10-17 17:00:00,1.5989856
2023-10-17 18:00:00,1.5280681
2023-10-17 19:00:00,1.4658455
2023-10-17 20:00:00,1.4102846
2023-10-17 21:00:00,1.359961
2023-10-17 22:00:00,1.3292629
2023-10-17 23:00:00,1.3908944
2023-10-18 00:00:00,1.5709643
2023-10-18 01:00:00,1.8013066
2023-10-18 02:00:00,1.9408617
2023-10-18 03:00:00,1.923478
2023-10-18 04:00:00,1.8132528
2023-10-18 05:00:00,1.7093526
2023-10-18 06:00:00,1.6242502
2023-10-18 07:00:00,1.5529363
2023-10-18 08:00:00,1.4911479
2023-10-18 09:00:00,1.4351327
2023-10-18 10:00:00,1.3857318
2023-10-18 11:00:00,1.3720348
2023-10-18 12:00:00,1.4504923
2023-10-18 13:00:00,1.602806
2023-10-18 14:00:00,1.728155
2023-10-18 15:00:00,1.7367979
2023-10-18 16:00:00,1.6696558
2023-10-18 17:00:00,1.5917013
2023-10-18 18:00:00,1.5190514
2023-10-18 19:00:00,1.454313
2023-10-18 20:00:00,1.3969276
2023-10-18 21:00:00,1.3448688
2023-10-18 22:00:00,1.3008922
2023-10-18 23:00:00,1.3012649
2023-10-19 00:00:00,1.4107289
2023-10-19 01:00:00,1.6175992
2023-10-19 02:00:00,1.8125043
2023-10-19 03:00:00,1.8924096
2023-10-19 04:00:00,1.82667
2023-10-19 05:00:00,1.7187953
2023-10-19 06:00:00,1.6263899
2023-10-19 07:00:00,1.5487732
2023-10-19 08:00:00,1.4825901
2023-10-19 09:00:00,1.4241004
2023-10-19 10:00:00,1.370509
2023-10-19 11:00:00,1.3279185
2023-10-19 12:00:00,1.3352418
2023-10-19 13:00:00,1.4247675
2023-10-19 14:00:00,1.5595396
2023-10-19 15:00:00,1.6368854
2023-10-19 16:00:00,1.6192778
2023-10-19 17:00:00,1.5571764
2023-10-19 18:00:00,1.4889451
2023-10-19 19:00:00,1.4233403
2023-10-19 20:00:00,1.3642446
2023-10-19 21:00:00,1.3110746
2023-10-19 22:00:00,1.2634445
2023-10-19 23:00:00,1.230259
2023-10-20 00:00:00,1.2635933
2023-10-20 01:00:00,1.3931535
2023-10-20 02:00:00,1.590379
2023-10-20 03:00:00,1.742076
2023-10-20 04:00:00,1.7747777
2023-10-20 05:00:00,1.6969959
2023-10-20 06:00:00,1.6027476
2023-10-20 07:00:00,1.5212965
2023-10-20 08:00:00,1.4513693
2023-10-20 09:00:00,1.3906759
2023-10-20 10:00:00,1.33594
2023-10-20 11:00:00,1.2861104
2023-10-20 12:00:00,1.2512056
